id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50987765,Boutique hotel in Hlavní město Praha · 1 bedroom · 1.5 shared baths,412431963,Veronika,,Praha 1,50.08913,14.39978,Private room,3233,1,1,2021-09-05,0.04,8,267,0,
50990285,Aparthotel in Hlavní město Praha · 1 bedroom · 1 bed · 1.5 baths,412431963,Veronika,,Praha 1,50.08763,14.40023,Entire home/apt,2921,1,1,2021-10-31,0.04,8,269,0,
51008432,Serviced apartment in Hlavní město Praha · 2 bedrooms · 2 beds · 1 bath,412431963,Veronika,,Praha 1,50.08955,14.40002,Entire home/apt,4599,1,2,2022-06-05,0.07,8,277,0,
51017692,Condo in Hlavní město Praha · ★4.33 · 2 bedrooms · 2 beds · 1.5 baths,565267,Taťjana,,Praha 1,50.091,14.42644,Entire home/apt,2929,20,9,2023-07-31,0.31,2,66,4,
51029915,Serviced apartment in Hlavní město Praha · ★4.91 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08562,14.43212,Entire home/apt,2942,1,68,2023-12-09,2.32,16,17,13,
51033846,Serviced apartment in Hlavní město Praha · 1 bedroom · 1 bed · 1 bath,56875333,Vladimíra,,Praha 1,50.08896,14.42282,Entire home/apt,,1,0,,,1,0,0,
51036777,Serviced apartment in Hlavní město Praha · ★4.38 · 1 bedroom · 2 beds · 1 shared bath,92220678,Kristýna And T&J,,Praha 2,50.07834,14.42047,Private room,1664,1,24,2023-11-12,1.15,12,156,12,
51037254,Serviced apartment in Hlavní město Praha · ★4.42 · 1 bedroom · 2 beds · 1 shared bath,92220678,Kristýna And T&J,,Praha 2,50.07866,14.42027,Private room,1664,1,24,2023-12-02,1.14,12,153,15,
51037603,Serviced apartment in Hlavní město Praha · ★4.54 · 1 bedroom · 2 beds · 1 shared bath,92220678,Kristýna And T&J,,Praha 2,50.07812,14.42061,Private room,1510,1,24,2023-11-12,1.11,12,128,11,
51038746,Serviced apartment in Hlavní město Praha · ★4.56 · 1 bedroom · 4 beds · 1 shared bath,92220678,Kristýna And T&J,,Praha 2,50.07884,14.42053,Private room,2266,1,38,2023-12-06,1.75,12,0,18,
51038893,Serviced apartment in Hlavní město Praha · ★4.29 · 1 bedroom · 3 beds · 1 shared bath,92220678,Kristýna And T&J,,Praha 1,50.07826,14.41848,Private room,2039,1,28,2023-10-22,1.29,12,160,12,
51052321,Rental unit in Praha 7 · ★4.42 · 1 bedroom · 2 beds · 1 bath,257779276,Oliver,,Praha 7,50.09956,14.42352,Entire home/apt,3237,1,26,2023-12-01,0.95,38,351,15,
51053029,Hotel in Praha 8 · ★4.60 · 1 bedroom · 2 beds · 1 private bath,413071550,Adela,,Praha 8,50.12065,14.45323,Private room,2200,1,14,2023-08-24,0.52,1,0,1,
51055029,Condo in Hlavní město Praha · ★4.84 · 1 bedroom · 2 beds · 1 bath,24851986,Magdalena & Tomas,,Praha 2,50.073471,14.433439,Entire home/apt,2063,2,132,2023-12-03,4.63,7,344,54,
51060095,Serviced apartment in Hlavní město Praha · ★4.89 · 1 bedroom · 1 bed · 1 bath,403695063,Zeitraum,,Praha 1,50.08618,14.43293,Entire home/apt,,1,66,2023-09-03,2.26,16,0,3,
51064199,Condo in Hlavní město Praha · ★4.91 · 1 bedroom · 1 bed · 1 bath,348159944,A.Group,,Praha 1,50.078083,14.427798,Entire home/apt,2586,3,109,2023-12-03,3.76,4,3,42,
51064873,Rental unit in Praha 7 · ★4.75 · 2 bedrooms · 2 beds · 2.5 baths,257779276,Oliver,,Praha 7,50.09943,14.42167,Entire home/apt,4063,2,12,2023-07-23,0.44,38,353,9,
51065655,Serviced apartment in Hlavní město Praha · ★4.38 · Studio · 1 bed · 1.5 baths,92220678,Kristýna And T&J,,Praha 1,50.07991,14.41876,Entire home/apt,2357,1,79,2023-12-04,2.94,12,151,43,
